ID,PERSONNEL_ID,DESIGN_ELEMENT_ID,ROLE_ID,PACKAGE_ID,ASSIGNED_AT,UNASSIGNED_AT
56848e8b-bebe-41bd-b518-a5ec7910f258,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,251478ad-322f-4c42-8773-145abb1d767e,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
2089a4f5-2e7b-4943-a8d7-0d419bd5e0d4,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,26480f93-50b5-49ad-91c5-922fccc01f99,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
bfae7c3d-4c8d-4f32-8350-21d5d0ea828d,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,3c38aa76-69dc-4eda-b250-1692744752fd,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
ce0ea3ef-bfd3-4e75-86bc-4d6690f6f4a3,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,4e707099-448c-4b59-b37d-f4384012004a,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
c79b9199-25cb-4db7-b27f-31202f311974,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,52329e93-4508-42c4-8ce1-2acca32d1731,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
285eddd0-c7e4-4d6c-bde9-73a8ccfe2a44,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,694fc529-569a-4af1-9335-c170366e53a5,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
de0488fb-a819-44bc-b922-e7738769e23b,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,81836b07-357f-4ea0-972f-5c588682f8a8,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
38f5461b-a35a-4f07-ad28-4ba3849cf780,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,83c99100-c4cf-40ec-832b-b569889a071d,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
df1f40cc-cd0e-4aee-87c7-8a58a82db2ee,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,8571d3dc-8f4b-44ee-8222-475aadec5d2e,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
f57ed968-4e1d-4ca0-863a-331a80ff4a27,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,87e37798-3a15-4ba6-93f3-76c9fc5cc816,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
fe11c5de-14ca-4d5f-888f-e3223f6b8c34,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,87eee04e-bffc-48d8-bc02-5f76b2451135,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
75eff319-ebb2-4564-8b87-38483e9cee77,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,938c3032-8d91-4dac-927b-5d647b36ebd8,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
f9fc8e6e-b60f-4310-b8ad-67dcc997c3b4,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,995eea17-9bb8-4961-897e-5ef4ab519364,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
584991f6-c48c-4821-af91-e59479b67f01,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,bf3dcb33-189d-46e2-8423-7c59a9d4ca4b,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
cb910a67-c92d-459e-b994-dead76a9a478,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,b529a7dc-1e0b-4b58-8d33-e321d4d366a9,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
fea90837-b477-4238-83f3-b6171fe21956,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,c6500c53-405d-4b2d-a029-6f3ed353e803,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
032e4bfa-29fb-43ee-8e57-252b24b8d5a7,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,c6f9366b-10c2-4ecb-b998-56a47fdaf936,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
64a313e5-06ba-46a0-9eff-9b0482098ec0,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,d002a8a2-287e-41dd-a45b-f25cb5e27542,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
58ce2572-83ad-4a0f-94c6-afc7973b5316,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,d6cb1ace-6efe-4a27-95c3-747e23b9a3f0,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
f9ed7443-1b60-4db8-a47b-4e0940a5f5cb,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,da347f1e-b37c-44b4-b262-45ac67e7cbe6,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
630ef000-3cb7-4039-8171-c9e269b727b6,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,df62cfe1-305a-42ee-963e-53a22c715e9b,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
1f33e735-5679-4ba8-a091-7c7584981e74,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,e53522ef-7da9-407e-a308-0c8bc2ee32d3,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
7f527d9d-fc57-4b9e-b2ae-ee3f0c95821c,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,f4b3ce70-be11-474e-97f3-c118163288c1,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
81ef009b-6c7d-447e-8d68-cbf4e5a8ddfb,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,fff04755-55e2-4ee4-b9e5-386dcdc71522,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,
187de1aa-59b9-4e57-9001-07708f57a283,734c8f76-f34a-4d58-8d25-3e4e6b372612,251478ad-322f-4c42-8773-145abb1d767e,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
976089c3-3067-4bf0-87c9-4d4cf3b2361e,734c8f76-f34a-4d58-8d25-3e4e6b372612,26480f93-50b5-49ad-91c5-922fccc01f99,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
c2dcbdfe-c693-45cb-9c27-c3be158ef3ec,734c8f76-f34a-4d58-8d25-3e4e6b372612,3c38aa76-69dc-4eda-b250-1692744752fd,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
b3307432-1883-4789-ba58-85f04f80a4dd,734c8f76-f34a-4d58-8d25-3e4e6b372612,4e707099-448c-4b59-b37d-f4384012004a,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
8647a0c7-ef9c-4899-aa86-55a782e81f3e,734c8f76-f34a-4d58-8d25-3e4e6b372612,52329e93-4508-42c4-8ce1-2acca32d1731,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
45a073f0-d361-4ba5-882e-2a353cd6dd12,734c8f76-f34a-4d58-8d25-3e4e6b372612,694fc529-569a-4af1-9335-c170366e53a5,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
c602700c-4429-4917-b129-01a3d1ca4687,734c8f76-f34a-4d58-8d25-3e4e6b372612,81836b07-357f-4ea0-972f-5c588682f8a8,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
d9596b2a-d297-423f-b471-9604ad1fc48c,734c8f76-f34a-4d58-8d25-3e4e6b372612,83c99100-c4cf-40ec-832b-b569889a071d,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
addac47f-3f1e-4923-b1de-f4ec364048ec,734c8f76-f34a-4d58-8d25-3e4e6b372612,8571d3dc-8f4b-44ee-8222-475aadec5d2e,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
ef1416cf-78d2-4d1e-afa4-899bd20cda0f,734c8f76-f34a-4d58-8d25-3e4e6b372612,87e37798-3a15-4ba6-93f3-76c9fc5cc816,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
8164e419-9435-4c29-ac77-72604eb097ca,734c8f76-f34a-4d58-8d25-3e4e6b372612,87eee04e-bffc-48d8-bc02-5f76b2451135,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
2fdcb20c-38e0-4f89-a1fc-5f9b3aa031ab,734c8f76-f34a-4d58-8d25-3e4e6b372612,938c3032-8d91-4dac-927b-5d647b36ebd8,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
d7537b3b-6bff-421c-b0b9-7c96f1e9d826,734c8f76-f34a-4d58-8d25-3e4e6b372612,995eea17-9bb8-4961-897e-5ef4ab519364,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
a7ac5fae-97f6-472a-b034-e1f0b8126429,734c8f76-f34a-4d58-8d25-3e4e6b372612,b529a7dc-1e0b-4b58-8d33-e321d4d366a9,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
97791f74-e601-4359-8814-0af6de8dad72,734c8f76-f34a-4d58-8d25-3e4e6b372612,bf3dcb33-189d-46e2-8423-7c59a9d4ca4b,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
4916a5d9-61c2-4e55-8428-dd81d17135aa,734c8f76-f34a-4d58-8d25-3e4e6b372612,c6500c53-405d-4b2d-a029-6f3ed353e803,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
e0b4d9a2-bc97-489b-8a74-ecb03422d2d4,734c8f76-f34a-4d58-8d25-3e4e6b372612,c6f9366b-10c2-4ecb-b998-56a47fdaf936,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
42afc89b-5b25-4773-ac46-68a2579d3aa6,734c8f76-f34a-4d58-8d25-3e4e6b372612,d002a8a2-287e-41dd-a45b-f25cb5e27542,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
d98715b4-cb30-4b63-8bad-13050fe0eb87,734c8f76-f34a-4d58-8d25-3e4e6b372612,d6cb1ace-6efe-4a27-95c3-747e23b9a3f0,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
8c5bb2e6-b8c3-4b3c-9c3e-9f0617cce680,734c8f76-f34a-4d58-8d25-3e4e6b372612,da347f1e-b37c-44b4-b262-45ac67e7cbe6,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
2bd7e5ea-c963-4539-a468-c76fb9cf5d9c,734c8f76-f34a-4d58-8d25-3e4e6b372612,df62cfe1-305a-42ee-963e-53a22c715e9b,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
99c4306c-2f99-4427-9efa-b3a83fbc643d,734c8f76-f34a-4d58-8d25-3e4e6b372612,e53522ef-7da9-407e-a308-0c8bc2ee32d3,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
cacf09c8-61bc-4294-88b2-68d877202438,734c8f76-f34a-4d58-8d25-3e4e6b372612,f4b3ce70-be11-474e-97f3-c118163288c1,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
4a7ca430-f9fe-46a4-a50b-ddeb50e85435,734c8f76-f34a-4d58-8d25-3e4e6b372612,fff04755-55e2-4ee4-b9e5-386dcdc71522,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
2e145783-65d3-4e9c-a6d9-a0550f512f65,1db2573d-2b7a-4726-b37c-e324941a9e87,5f10d4da-d762-44a0-aeaf-09f5e53915c8,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
4a7ca430-f9fe-46a4-a50b-dd5b50e85435,ebc71fa1-3800-4618-b2b0-0646e80fcb92,f3a34036-3b7a-418c-99e3-4f37dc7785e4,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
1db342dc-4504-49f1-a639-7a06438dad91,109a889e-6ca3-4773-96ac-48d5a10eff57,f3a34036-3b7a-418c-99e3-4f37dc7785e4,456d1289-470a-4592-aeed-ef7be0f1ffcf,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
ff59bcd4-3c1e-4bba-b249-3fd6e76a7ca0,3fdcc4ec-6658-41ec-819d-d096537e505f,f3a34036-3b7a-418c-99e3-4f37dc7785e4,ef8bd7f3-bba0-4b39-8eb6-9fe5c1aadeba,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
c16efaed-8b3d-46d3-b602-fdf426886f2e,fb139529-acc5-48c7-9be7-49a2c35f0d1f,4f44553d-7f0a-4b1e-a729-62e9aa5aadcf,d0cad15e-b95a-4016-a16c-66775d7b8d80,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:01:13.509Z,

